	acousticness	analysis_url	danceability	duration_ms	energy	id	instrumentalness	key	liveness	loudness	mode	speechiness	tempo	time_signature	track_href	type	uri	valence	like?
16	0.0351	https://api.spotify.com/v1/audio-analysis/4mzBH5tCKO6lHqRN3awTJC	0.453	390818	0.647	4mzBH5tCKO6lHqRN3awTJC	0.408	10	0.396	-7.861	1	0.0472	95.01	4	https://api.spotify.com/v1/tracks/4mzBH5tCKO6lHqRN3awTJC	audio_features	spotify:track:4mzBH5tCKO6lHqRN3awTJC	0.642	yes
17	0.0151	https://api.spotify.com/v1/audio-analysis/1BltsyC5W3SAABdxyrDXwi	0.502	255632	0.732	1BltsyC5W3SAABdxyrDXwi	0.000119	1	0.0897	-5.45	1	0.168	122.025	4	https://api.spotify.com/v1/tracks/1BltsyC5W3SAABdxyrDXwi	audio_features	spotify:track:1BltsyC5W3SAABdxyrDXwi	0.536	yes
18	0.00172	https://api.spotify.com/v1/audio-analysis/3g9DZ7nXZJAIBKRvoXR2ZY	0.534	203733	0.688	3g9DZ7nXZJAIBKRvoXR2ZY	0.015	8	0.0908	-8.236	1	0.0328	93.0	4	https://api.spotify.com/v1/tracks/3g9DZ7nXZJAIBKRvoXR2ZY	audio_features	spotify:track:3g9DZ7nXZJAIBKRvoXR2ZY	0.173	yes
19	0.308	https://api.spotify.com/v1/audio-analysis/0Zjvr5FgK8T4NmyUArVtUr	0.595	158000	0.697	0Zjvr5FgK8T4NmyUArVtUr	0.688	1	0.0965	-5.172	1	0.0457	119.951	4	https://api.spotify.com/v1/tracks/0Zjvr5FgK8T4NmyUArVtUr	audio_features	spotify:track:0Zjvr5FgK8T4NmyUArVtUr	0.559	yes
20	0.705	https://api.spotify.com/v1/audio-analysis/4XHjt7mlKGwiwPPD1owV7w	0.831	215787	0.794	4XHjt7mlKGwiwPPD1owV7w	3.4e-05	2	0.0978	-3.701	0	0.0752	118.075	4	https://api.spotify.com/v1/tracks/4XHjt7mlKGwiwPPD1owV7w	audio_features	spotify:track:4XHjt7mlKGwiwPPD1owV7w	0.735	yes
21	0.00728	https://api.spotify.com/v1/audio-analysis/6C7RJEIUDqKkJRZVWdkfkH	0.625	311867	0.726	6C7RJEIUDqKkJRZVWdkfkH	0.0	10	0.318	-7.731	0	0.155	103.98	4	https://api.spotify.com/v1/tracks/6C7RJEIUDqKkJRZVWdkfkH	audio_features	spotify:track:6C7RJEIUDqKkJRZVWdkfkH	0.483	yes
22	0.000522	https://api.spotify.com/v1/audio-analysis/2dcmQJCw1INGn7yR2KHx0U	0.322	289150	0.985	2dcmQJCw1INGn7yR2KHx0U	0.00865	0	0.0964	-3.494	1	0.14	161.195	4	https://api.spotify.com/v1/tracks/2dcmQJCw1INGn7yR2KHx0U	audio_features	spotify:track:2dcmQJCw1INGn7yR2KHx0U	0.0815	yes
23	0.844	https://api.spotify.com/v1/audio-analysis/7GDbkrFBGrCb8ntbQPY3hQ	0.352	236000	0.254	7GDbkrFBGrCb8ntbQPY3hQ	0.58	0	0.108	-8.51	1	0.0473	79.989	4	https://api.spotify.com/v1/tracks/7GDbkrFBGrCb8ntbQPY3hQ	audio_features	spotify:track:7GDbkrFBGrCb8ntbQPY3hQ	0.102	yes
24	0.648	https://api.spotify.com/v1/audio-analysis/2q4gGYNmNYNyqgpVmGJH0c	0.53	224773	0.732	2q4gGYNmNYNyqgpVmGJH0c	0.929	1	0.123	-5.054	1	0.0297	74.991	4	https://api.spotify.com/v1/tracks/2q4gGYNmNYNyqgpVmGJH0c	audio_features	spotify:track:2q4gGYNmNYNyqgpVmGJH0c	0.172	yes
25	0.227	https://api.spotify.com/v1/audio-analysis/2QPuWjnOa6N5p8fGn3iGly	0.564	222067	0.775	2QPuWjnOa6N5p8fGn3iGly	0.131	2	0.421	-6.777	1	0.0486	83.034	4	https://api.spotify.com/v1/tracks/2QPuWjnOa6N5p8fGn3iGly	audio_features	spotify:track:2QPuWjnOa6N5p8fGn3iGly	0.456	yes
26	0.0676	https://api.spotify.com/v1/audio-analysis/2FOzI50fXNQjAEyhP4hOqJ	0.265	291547	0.632	2FOzI50fXNQjAEyhP4hOqJ	0.00234	4	0.223	-6.497	1	0.0367	125.206	4	https://api.spotify.com/v1/tracks/2FOzI50fXNQjAEyhP4hOqJ	audio_features	spotify:track:2FOzI50fXNQjAEyhP4hOqJ	0.504	yes
27	0.037	https://api.spotify.com/v1/audio-analysis/5tZNWMJbL2Ti1xm1zlTMyr	0.573	241573	0.543	5tZNWMJbL2Ti1xm1zlTMyr	0.0248	0	0.0957	-7.187	1	0.0648	185.197	4	https://api.spotify.com/v1/tracks/5tZNWMJbL2Ti1xm1zlTMyr	audio_features	spotify:track:5tZNWMJbL2Ti1xm1zlTMyr	0.842	yes
28	0.285	https://api.spotify.com/v1/audio-analysis/2fdMAIsNH4wY7RRda8aCfL	0.71	205240	0.652	2fdMAIsNH4wY7RRda8aCfL	2.87e-05	8	0.166	-7.476	1	0.0294	122.189	4	https://api.spotify.com/v1/tracks/2fdMAIsNH4wY7RRda8aCfL	audio_features	spotify:track:2fdMAIsNH4wY7RRda8aCfL	0.597	yes
29	0.195	https://api.spotify.com/v1/audio-analysis/6mMwj0C2TRwW56qmQhJV5P	0.603	134040	0.293	6mMwj0C2TRwW56qmQhJV5P	1.04e-06	7	0.0849	-14.909	1	0.0339	108.915	4	https://api.spotify.com/v1/tracks/6mMwj0C2TRwW56qmQhJV5P	audio_features	spotify:track:6mMwj0C2TRwW56qmQhJV5P	0.357	yes
